,index,mean_2,var_2,og_var_2,p_val_2,mean_3,var_3,og_var_3,p_val_3,mean_4,var_4,og_var_4,p_val_4,mean_5,var_5,og_var_5,p_val_5,mean_6,var_6,og_var_6,p_val_6,mc_type,k,n,feat,noise,sep
149,tss,3528.776037440873,443.82329407371077,3068.846789871731,1.0,3215.5206170983333,908.6530652898664,2739.526627890702,1.0,2992.484499960618,1158.9844172616522,2466.6131146466596,1.0,2817.1472078889033,1361.7546557171945,2300.5089799872458,1.0,2669.9174033935506,1503.6018312811038,2115.8164381471515,1.0,random_order,5,100,10,0.1,1
150,hubers,4.8727806560277465,0.05477279551443924,4.788586517143476,0.6726546906187625,6.253920664074949,0.07320062157603983,5.80313877921102,0.9421157684630739,6.96971543931159,0.06420937595278774,6.925189061016982,0.5828343313373253,7.3758691044528755,0.06304578303622012,7.234669075452863,0.7285429141716567,7.632174722046603,0.06639890571731673,7.568771619260643,0.6127744510978044,pca_trans,5,100,10,0.1,1
151,norm,0.07604567882478304,7.677097391918507e-05,0.0800309236173795,0.3273453093812375,0.07386300224127113,5.388344580085869e-05,0.07603654140197108,0.3652694610778443,0.06789516422496641,3.7764537626541586e-05,0.06220432281068979,0.8183632734530938,0.06105711414832428,3.039822334620022e-05,0.06118442136654797,0.5089820359281437,0.05557934201920338,2.48350143956598e-05,0.053233849226904335,0.6706586826347305,pca_trans,5,100,10,0.1,1
152,tss,3102.7894621582145,31503.86473064335,3068.846789871731,0.5768463073852296,2717.904705257878,22889.018142277673,2739.526627890702,0.4431137724550898,2446.4051344877694,17581.933573742626,2466.6131146466596,0.4291417165668663,2259.700957463582,14991.71276487021,2300.5089799872458,0.35728542914171657,2116.0746344023905,13229.4026327769,2115.8164381471515,0.5049900199600799,pca_trans,5,100,10,0.1,1
153,hubers,9.392947873985253,0.045271216303747364,8.17422116652967,1.0,12.441580429880089,0.05364669497130549,10.55827597703651,1.0,13.925401324801669,0.05701127774811845,11.774256203246118,1.0,14.799472707237175,0.05852465339568258,12.857094462972922,1.0,15.363749301235861,0.06311057402190602,13.02778241555567,1.0,min_max,5,100,10,0.1,3
154,norm,0.04122412058956812,9.615899588502713e-06,0.059705056214592996,0.001996007984031936,0.04601188377575851,8.012106692315202e-06,0.07056460886806858,0.001996007984031936,0.04511027905054725,6.856629607037454e-06,0.07258368243757396,0.001996007984031936,0.04279843932770766,5.7546389041208365e-06,0.06911503783945352,0.001996007984031936,0.040334755736546116,4.71197904445558e-06,0.06548508522177891,0.001996007984031936,min_max,5,100,10,0.1,3
155,tss,14492.093198438777,189919.49719617906,7811.8704382103915,1.0,13234.831649883881,162954.75381173546,5641.669592158392,1.0,12291.943910365646,147090.7893417831,3937.0573613594242,1.0,11537.603803999666,133393.78506370788,2728.752243401204,1.0,10915.177601468706,121915.77410016653,2493.188167410463,1.0,min_max,5,100,10,0.1,3
156,hubers,7.671561505359586,0.025167107207647532,8.17422116652967,0.001996007984031936,10.182523685894267,0.01391333169007127,10.55827597703651,0.001996007984031936,11.408934756024307,0.007490405643180418,11.774256203246118,0.001996007984031936,12.120512068891829,0.0063480345901593726,12.857094462972922,0.001996007984031936,12.57943279301088,0.005635957664620515,13.02778241555567,0.001996007984031936,random_order,5,100,10,0.1,3
157,norm,0.04693867149128535,1.3352308558326632e-05,0.059705056214592996,0.003992015968063872,0.05305785594869782,1.202986109743682e-05,0.07056460886806858,0.001996007984031936,0.05215996378692721,9.265933372626201e-06,0.07258368243757396,0.001996007984031936,0.049726483336009354,8.5296937594486e-06,0.06911503783945352,0.001996007984031936,0.04698198599924528,6.940014967526715e-06,0.06548508522177891,0.001996007984031936,random_order,5,100,10,0.1,3
158,tss,9746.363767481516,4841.625746177812,7811.8704382103915,1.0,8892.444937874745,8107.446076386808,5641.669592158392,1.0,8248.141095216479,9773.64435531577,3937.0573613594242,1.0,7731.228821011655,10853.619689850993,2728.752243401204,1.0,7306.275162214035,11274.41704219434,2493.188167410463,1.0,random_order,5,100,10,0.1,3
159,hubers,7.842038344839044,0.15756486630401634,8.17422116652967,0.18363273453093812,10.282695510111834,0.1551493048668111,10.55827597703651,0.24550898203592814,11.374816189540754,0.16941824894149093,11.774256203246118,0.18762475049900199,12.025725068335623,0.17632974586048022,12.857094462972922,0.031936127744510975,12.44221576240258,0.18169739005919394,13.02778241555567,0.09181636726546906,pca_trans,5,100,10,0.1,3
160,norm,0.03972379703474233,1.865648828907965e-05,0.059705056214592996,0.001996007984031936,0.04303666100897068,1.5839225270604615e-05,0.07056460886806858,0.001996007984031936,0.04022699711651657,1.2702894770564226e-05,0.07258368243757396,0.001996007984031936,0.03686885622240336,9.675676018333634e-06,0.06911503783945352,0.001996007984031936,0.0337979193737783,7.420833095773734e-06,0.06548508522177891,0.001996007984031936,pca_trans,5,100,10,0.1,3
161,tss,8419.207625212595,275291.58267938823,7811.8704382103915,0.8642714570858283,6955.733587058388,173403.35532603378,5641.669592158392,1.0,6158.2533979917025,126444.03598999971,3937.0573613594242,1.0,5582.12312395769,101975.09347804627,2728.752243401204,1.0,5142.118418085285,86232.6609065395,2493.188167410463,1.0,pca_trans,5,100,10,0.1,3
162,hubers,5.662945090820697,0.01757247725497943,4.139623777905267,1.0,7.422540474598338,0.023150217483745357,5.262837822370406,1.0,8.306674378007704,0.02272650219245854,5.6695786418477,1.0,8.810136254753647,0.0247246027345983,5.850556794747812,1.0,9.135641700025241,0.024312724353237766,5.9705998127771664,1.0,min_max,2,100,10,0.5,0.5
163,norm,0.08177770630440011,4.254212155493635e-05,0.09175241395122295,0.0718562874251497,0.0868896316680818,2.7362377885497128e-05,0.07525671776602914,0.9840319361277445,0.08290265568719991,2.3540070533647118e-05,0.06691763099340221,1.0,0.07687811437267558,1.6855706068624636e-05,0.06329253912608215,1.0,0.07091551214163447,1.4434698825477301e-05,0.0607691141179725,0.998003992015968,min_max,2,100,10,0.5,0.5
164,tss,4853.67832960601,21389.534360126956,1428.6147862384362,1.0,4339.523617389316,16219.817084817452,1126.5212645472632,1.0,3973.8509227653667,13798.053922406405,945.1275278019402,1.0,3701.9183413375176,11886.578826457244,847.1804539203895,1.0,3488.9726738049103,10657.527234785568,767.441547984426,1.0,min_max,2,100,10,0.5,0.5
165,hubers,3.8190498548015674,0.01261442579010226,4.139623777905267,0.001996007984031936,5.079414807122763,0.005880780112586159,5.262837822370406,0.001996007984031936,5.657546736740355,0.004950645264393382,5.6695786418477,0.5409181636726547,6.002473974419818,0.002983651302140478,5.850556794747812,0.9820359281437125,6.221279554704048,0.002437726652220475,5.9705998127771664,1.0,random_order,2,100,10,0.5,0.5
166,norm,0.0929550226997556,6.256616270471882e-05,0.09175241395122295,0.5069860279441117,0.10512527171953812,4.8756260372334965e-05,0.07525671776602914,1.0,0.09695922870616401,4.828346390464673e-05,0.06691763099340221,1.0,0.08838709486078272,3.4862092502178686e-05,0.06329253912608215,1.0,0.08084634782007942,2.921979720470278e-05,0.0607691141179725,1.0,random_order,2,100,10,0.5,0.5
167,tss,2279.1948363795495,386.26614334581956,1428.6147862384362,1.0,1987.4678423824425,513.0120693467027,1126.5212645472632,1.0,1828.5778620955912,502.91628124913655,945.1275278019402,1.0,1708.4187870480403,535.2705808992672,847.1804539203895,1.0,1615.842817553467,553.1375088987216,767.441547984426,1.0,random_order,2,100,10,0.5,0.5
168,hubers,4.0789138048696,0.06457526043826063,4.139623777905267,0.40119760479041916,5.07731798139934,0.08234516165008016,5.262837822370406,0.24550898203592814,5.603378936883631,0.08353214849339148,5.6695786418477,0.4091816367265469,5.869702478686524,0.09075876251957382,5.850556794747812,0.5129740518962076,6.038767742996296,0.0928798042744823,5.9705998127771664,0.5748502994011976,pca_trans,2,100,10,0.5,0.5
169,norm,0.07975818899870434,8.417649355998832e-05,0.09175241395122295,0.09780439121756487,0.078676424061576,4.543900295157562e-05,0.07525671776602914,0.7005988023952096,0.06859658659971758,4.432350259294919e-05,0.06691763099340221,0.5768463073852296,0.062032334472191274,3.7980329028129136e-05,0.06329253912608215,0.3772455089820359,0.05612964616078797,3.296604543026936e-05,0.0607691141179725,0.18762475049900199,pca_trans,2,100,10,0.5,0.5
170,tss,1542.4219529867084,18782.04097098226,1428.6147862384362,0.8063872255489022,1197.3229931741812,9673.88333199399,1126.5212645472632,0.7744510978043913,992.9148854557841,6252.02474402973,945.1275278019402,0.720558882235529,858.5520919878411,4342.27357752975,847.1804539203895,0.5429141716566867,764.0252939937465,3220.718674163608,767.441547984426,0.46107784431137727,pca_trans,2,100,10,0.5,0.5
171,hubers,4.235129043297435,0.009974946371290963,3.0233814871452505,1.0,5.548923460231706,0.012733549393808176,3.8582966558370266,1.0,6.210011302714285,0.013430110576042207,4.395628305918472,1.0,6.588361023826794,0.013681533052596033,4.4849564856245765,1.0,6.8313352040964,0.014444332996774457,4.692810794525715,1.0,min_max,2,100,10,0.5,1
172,norm,0.10392043046723293,8.023925776596625e-05,0.09961871744836884,0.6666666666666666,0.11142418937250617,4.492806053610729e-05,0.10956751099463179,0.5948103792415169,0.10675370290098186,3.309905891975974e-05,0.09119254597915966,0.998003992015968,0.09946887631452563,2.6484445921613947e-05,0.09867040620839608,0.562874251497006,0.09251596334218809,2.362197565101129e-05,0.08825305013627262,0.8203592814371258,min_max,2,100,10,0.5,1
173,tss,2711.7447433662305,7310.404345389903,1179.391165100159,1.0,2418.7296327528816,5982.649524973693,902.3590448253706,1.0,2207.7306826869612,5135.958094648051,773.0879779641689,1.0,2048.185214291314,4448.224224403577,675.2070746637999,1.0,1920.40323204517,4035.8497829599414,588.3910301315867,1.0,min_max,2,100,10,0.5,1
174,hubers,2.7560707646861355,0.053544597106542795,3.0233814871452505,0.003992015968063872,3.8441966063946964,0.00477718215557427,3.8582966558370266,0.4550898203592814,4.341310641446631,0.003296871971045799,4.395628305918472,0.11177644710578842,4.617810414303016,0.0018990173837270538,4.4849564856245765,0.9900199600798403,4.788562718707375,0.0016146479058903823,4.692810794525715,0.9620758483033932,random_order,2,100,10,0.5,1
175,norm,0.11221832251289594,0.00017896511953212097,0.09961871744836884,0.8223552894211577,0.12355070980873634,9.203139945600907e-05,0.10956751099463179,0.9281437125748503,0.11585956322682356,8.574424634096852e-05,0.09119254597915966,1.0,0.10652237214523531,6.76019669616249e-05,0.09867040620839608,0.8283433133732535,0.09879859836733737,5.980573571456714e-05,0.08825305013627262,0.9241516966067864,random_order,2,100,10,0.5,1
176,tss,1387.1649538675472,154.35707521435845,1179.391165100159,1.0,1226.6142650577845,198.75146241532374,902.3590448253706,1.0,1122.086606822195,222.57490044286126,773.0879779641689,1.0,1045.4371690912408,238.08047630364385,675.2070746637999,1.0,984.977543983452,245.0944648121467,588.3910301315867,1.0,random_order,2,100,10,0.5,1
177,hubers,3.044360135222025,0.02307383614514375,3.0233814871452505,0.5608782435129741,3.9426948257179784,0.027084678787267877,3.8582966558370266,0.6926147704590818,4.348857205227836,0.03089117551395859,4.395628305918472,0.38922155688622756,4.586948187911546,0.03313609184539898,4.4849564856245765,0.7285429141716567,4.73391072645735,0.03496984266086982,4.692810794525715,0.5768463073852296,pca_trans,2,100,10,0.5,1
178,norm,0.09897842418804995,0.00012835005833719822,0.09961871744836884,0.48502994011976047,0.10088218677309921,9.199816022742227e-05,0.10956751099463179,0.17964071856287425,0.0949892034083771,6.713262935386879e-05,0.09119254597915966,0.6746506986027944,0.0875322837744216,5.716866113410239e-05,0.09867040620839608,0.06387225548902195,0.08090484075607204,4.496279144286783e-05,0.08825305013627262,0.1217564870259481,pca_trans,2,100,10,0.5,1
179,tss,1140.9963809770047,6761.394130901504,1179.391165100159,0.3033932135728543,929.8178156266277,4248.1611967384415,902.3590448253706,0.6666666666666666,797.465028981897,3136.181402790372,773.0879779641689,0.6646706586826348,703.9063941451474,2489.903800382212,675.2070746637999,0.718562874251497,633.9939888238317,2052.0967080987666,588.3910301315867,0.8323353293413174,pca_trans,2,100,10,0.5,1
180,hubers,7.913637044743584,0.04071842300578814,8.124583509226317,0.12574850299401197,10.209006313058751,0.05416237221703027,9.213492437642346,1.0,11.427848570325217,0.05136000945828103,10.209159721894991,1.0,12.100448147040666,0.05229796271298129,10.445461707127883,1.0,12.533228823333697,0.05169117683164133,10.682393168762172,1.0,min_max,2,100,10,0.5,3
